CommitHash,Author,Date,Message,File,Insertions,Deletions
dbf3c6a,MadhavArora1213,2026-01-23,"correct","frontend/src/pages/BlogDetailPage.jsx",7,3
dbf3c6a,MadhavArora1213,2026-01-23,"correct","frontend/src/pages/BlogListingPage.jsx",3,2
dbf3c6a,MadhavArora1213,2026-01-23,"correct","frontend/src/pages/CareerDetailPage.jsx",3,1
dbf3c6a,MadhavArora1213,2026-01-23,"correct","frontend/src/pages/CareersPage.jsx",2,1
dbf3c6a,MadhavArora1213,2026-01-23,"correct","frontend/src/utils/slugify.js",39,0
9e4c7a7,MadhavArora1213,2026-01-22,"update skeleton loading","frontend/src/components/common/Skeleton.jsx",9,0
9e4c7a7,MadhavArora1213,2026-01-22,"update skeleton loading","frontend/src/pages/BlogDetailPage.jsx",37,3
9e4c7a7,MadhavArora1213,2026-01-22,"update skeleton loading","frontend/src/pages/BlogListingPage.jsx",14,2
9e4c7a7,MadhavArora1213,2026-01-22,"update skeleton loading","frontend/src/pages/CareerDetailPage.jsx",44,10
9e4c7a7,MadhavArora1213,2026-01-22,"update skeleton loading","frontend/src/pages/CareersPage.jsx",25,31
0040542,MadhavArora1213,2026-01-22,"blog","frontend/src/pages/BlogDetailPage.jsx",4,2
9a3a4af,MadhavArora1213,2026-01-22,"correct code","frontend/src/components/common/Icon.jsx",0,7
9a3a4af,MadhavArora1213,2026-01-22,"correct code","frontend/src/pages/BlogDetailPage.jsx",2,1
9a3a4af,MadhavArora1213,2026-01-22,"correct code","frontend/src/pages/BlogListingPage.jsx",10,8
9a3a4af,MadhavArora1213,2026-01-22,"correct code","frontend/src/pages/HowItWorks.jsx",0,4
90d39a6,MadhavArora1213,2026-01-22,"correct","frontend/src/components/user/CareerSubmissionForm.jsx",2,2
90d39a6,MadhavArora1213,2026-01-22,"correct","frontend/src/locales/ar.json",29,48
90d39a6,MadhavArora1213,2026-01-22,"correct","frontend/src/locales/en.json",25,55
90d39a6,MadhavArora1213,2026-01-22,"correct","frontend/src/locales/fr.json",98,117
90d39a6,MadhavArora1213,2026-01-22,"correct","frontend/src/locales/hi.json",66,100
90d39a6,MadhavArora1213,2026-01-22,"correct","frontend/src/locales/ru.json",99,118
90d39a6,MadhavArora1213,2026-01-22,"correct","frontend/src/locales/zh.json",97,116
90d39a6,MadhavArora1213,2026-01-22,"correct","frontend/src/pages/CareerDetailPage.jsx",3,3
90d39a6,MadhavArora1213,2026-01-22,"correct","frontend/src/pages/CareersPage.jsx",2,2
a6c0ba5,MadhavArora1213,2026-01-22,"feat: Add career listing and detail pages with filtering, sorting, and translation capabilities.","frontend/src/components/user/CareersSidebar.jsx",12,8
a6c0ba5,MadhavArora1213,2026-01-22,"feat: Add career listing and detail pages with filtering, sorting, and translation capabilities.","frontend/src/pages/CareerDetailPage.jsx",5,2
a6c0ba5,MadhavArora1213,2026-01-22,"feat: Add career listing and detail pages with filtering, sorting, and translation capabilities.","frontend/src/pages/CareersPage.jsx",5,2
5d67bd4,MadhavArora1213,2026-01-22,"correct","frontend/src/components/user/CareersSidebar.jsx",23,5
5d67bd4,MadhavArora1213,2026-01-22,"correct","frontend/src/locales/ar.json",1,1
5d67bd4,MadhavArora1213,2026-01-22,"correct","frontend/src/locales/fr.json",1,1
5d67bd4,MadhavArora1213,2026-01-22,"correct","frontend/src/locales/ru.json",1,1
5d67bd4,MadhavArora1213,2026-01-22,"correct","frontend/src/locales/zh.json",1,1
5d67bd4,MadhavArora1213,2026-01-22,"correct","frontend/src/pages/CareerDetailPage.jsx",2,2
5d67bd4,MadhavArora1213,2026-01-22,"correct","frontend/src/pages/CareersPage.jsx",2,0
ed9e1f2,MadhavArora1213,2026-01-22,"correct","frontend/src/components/user/CareerSubmissionForm.jsx",38,36
ed9e1f2,MadhavArora1213,2026-01-22,"correct","frontend/src/components/user/CareersSidebar.jsx",18,17
ed9e1f2,MadhavArora1213,2026-01-22,"correct","frontend/src/locales/ar.json",88,4
ed9e1f2,MadhavArora1213,2026-01-22,"correct","frontend/src/locales/en.json",96,1
ed9e1f2,MadhavArora1213,2026-01-22,"correct","frontend/src/locales/fr.json",86,2
ed9e1f2,MadhavArora1213,2026-01-22,"correct","frontend/src/locales/hi.json",138,38
ed9e1f2,MadhavArora1213,2026-01-22,"correct","frontend/src/locales/ru.json",86,2
ed9e1f2,MadhavArora1213,2026-01-22,"correct","frontend/src/locales/zh.json",86,2
ed9e1f2,MadhavArora1213,2026-01-22,"correct","frontend/src/pages/CareerDetailPage.jsx",11,11
ed9e1f2,MadhavArora1213,2026-01-22,"correct","frontend/src/pages/CareersPage.jsx",4,4
59d5fbe,MadhavArora1213,2026-01-22,"correcyt","backend/requirements.txt",3,0
59d5fbe,MadhavArora1213,2026-01-22,"correcyt","backend/requirements_populate.txt",3,1
59d5fbe,MadhavArora1213,2026-01-22,"correcyt","backend/src/services/translationService.js",9,3
81d9434,MadhavArora1213,2026-01-22,"feat: Add text translation functionality with Node.js API, Python backend using `deep-translator`, and Redis caching.","backend/server.js",1,0
81d9434,MadhavArora1213,2026-01-22,"feat: Add text translation functionality with Node.js API, Python backend using `deep-translator`, and Redis caching.","backend/src/controllers/translationController.js",15,2
81d9434,MadhavArora1213,2026-01-22,"feat: Add text translation functionality with Node.js API, Python backend using `deep-translator`, and Redis caching.","backend/src/routes/translations.js",2,1
81d9434,MadhavArora1213,2026-01-22,"feat: Add text translation functionality with Node.js API, Python backend using `deep-translator`, and Redis caching.","backend/src/services/translationService.js",57,1
81d9434,MadhavArora1213,2026-01-22,"feat: Add text translation functionality with Node.js API, Python backend using `deep-translator`, and Redis caching.","backend/translator.py",88,25
e317243,MadhavArora1213,2026-01-22,"feat: Add BlogDetailPage component for displaying individual blog posts with content, metadata, related articles, and translation support.","frontend/src/pages/BlogDetailPage.jsx",304,303
7a40973,MadhavArora1213,2026-01-22,"feat: Add blog and career detail/listing pages with internationalization support.","frontend/src/locales/ar.json",47,1
7a40973,MadhavArora1213,2026-01-22,"feat: Add blog and career detail/listing pages with internationalization support.","frontend/src/locales/en.json",48,2
7a40973,MadhavArora1213,2026-01-22,"feat: Add blog and career detail/listing pages with internationalization support.","frontend/src/locales/fr.json",47,1
7a40973,MadhavArora1213,2026-01-22,"feat: Add blog and career detail/listing pages with internationalization support.","frontend/src/locales/hi.json",47,1
7a40973,MadhavArora1213,2026-01-22,"feat: Add blog and career detail/listing pages with internationalization support.","frontend/src/locales/ru.json",47,1
7a40973,MadhavArora1213,2026-01-22,"feat: Add blog and career detail/listing pages with internationalization support.","frontend/src/locales/zh.json",47,1
